date,description,merchant,amount,category
2024-04-29,Gas Cylinder 143,Indane,1161.13,Bills
2023-10-26,Apollo Pharmacy,Apollo Pharmacy,630.0,Health
2025-03-26,Repair Services 437,Urban Company,364.74,Miscellaneous
2024-04-02,Cafe Coffee Day Bill,Cafe Coffee Day,362.0,Food & Drink
2023-02-18,flipkart,Flipkart,1599.0,Shopping
2023-07-07,MedPlus,MedPlus,190.0,Health
2025-01-18,Apollo Pharmacy TRN 10024,Apollo Pharmacy,2598.0,Health
2024-02-22,Swiggy order 3543,Swiggy,527.0,Food & Drink
2025-05-19,DECATHLON RETAIL,Decathlon,4471.0,Shopping
2025-10-22,Groceries from Dunzo #10182,Dunzo,793.0,Groceries
2025-04-01,Rapido Ride 3502,Amazon,110.0,Transport
2023-08-17,Dominos Pizza,Dominos,850.0,Food & Drink
2024-02-06,Electricity Bill 781,TNEB,1140.84,Bills
2023-02-19,PVR Cinemas,PVR Cinemas,500.0,Entertainment
2025-02-20,Apollo Pharmacy,Apollo Pharmacy,240.0,Health
2025-05-23,Gaming Currency 971,Steam,494.6,Entertainment
2024-09-24,Amazon.in Order AMZ10007,Amazon,570.0,Shopping
2023-01-01,UPI to Swiggy Order #10001,Swiggy,942.0,Food & Drink
2025-08-05,Ola Cabs,Ola,230.0,Transport
2024-10-03,APOLLO PHARMACY TRN,Apollo Pharmacy,450.0,Health
2024-02-04,Rapido,Rapido,135.0,Transport
2023-09-21,UPI to Friend 10184,Miscellaneous,6500.0,Miscellaneous
2025-03-01,Uber Ride,Uber,240.0,Transport
2025-04-06,NETFLIX.COM,Netflix,199.0,Subscriptions
2025-12-13,Gas Cylinder 184,Indane,1120.37,Bills
2025-11-02,Stationery 170,Local Shop,120.02,Miscellaneous
2024-01-14,Apollo Pharmacy Bill,Apollo Pharmacy,246.0,Health
2025-03-05,IMPS - Rent Mar,House Rent,20000.0,Rent
2023-01-16,MedPlus,MedPlus,230.0,Health
2023-02-09,BigBazaar,BigBazaar,3300.0,Groceries
2025-07-09,Printout 676,Xerox Shop,49.56,Miscellaneous
2024-02-19,Rapido Ride 7837,Rapido,90.0,Transport
2024-08-27,Zomato,Zomato,370.0,Food & Drink
2025-05-25,Uber Trip 10187,Uber,292.0,Transport
2025-02-03,AIRTEL POSTPAID BILL 10045,Airtel,821.0,Bills
2024-01-14,Ola Ride 6554,Ola,121.0,Transport
2023-07-18,Amazon Prime renewal 10256,Amazon Prime,1499.0,Subscriptions
2024-01-25,Swiggy order 8089,Swiggy,538.0,Food & Drink
2024-06-22,Swiggy,Swiggy,480.0,Food & Drink
2024-01-25,MedPlus Bill,MedPlus,410.0,Health
2025-02-20,PVR Cinemas,PVR Cinemas,520.0,Entertainment
2025-01-02,DOMINOS BILL 10098,Dominos,878.0,Food & Drink
2024-07-13,Gift Purchase 385,Archies,425.5,Miscellaneous
2024-03-01,NETFLIX.COM 1234,Netflix,199.0,Subscriptions
2025-08-12,Disney+ Hotstar,Hotstar,499.0,Subscriptions
2025-04-01,Swiggy order 7609,Uber,234.0,Food & Drink
2025-07-04,Order #10238 from Zomato,Zomato,623.0,Food & Drink
2024-04-11,Zomato Order #2357,Zomato,430.0,Food & Drink
2024-01-14,UPI to Friend 727,UPI,522.94,Miscellaneous
2023-11-26,Ola Ride,Ola,260.0,Transport
2023-01-21,Myntra Order 7289,Myntra,1100.0,Shopping
2025-04-12,Croma.com Inv#10132,Croma,6272.0,Shopping
2025-09-19,Movie Ticket 899,BookMyShow,294.0,Entertainment
2025-06-08,PVR Cinemas Ticket 10204,PVR Cinemas,964.0,Entertainment
2023-06-07,More Supermarket Store Bill,More Supermarket,2257.0,Groceries
2024-08-10,Maintenance Charge 404,Association,1974.49,Rent
2023-06-20,Concert Ticket 405,Insider,1420.28,Entertainment
2023-08-05,More Supermarket,More Supermarket,2600.0,Groceries
2024-04-24,Maintenance Charge 707,Association,1853.04,Rent
2025-12-21,Courier Charges 957,DTDC,109.31,Miscellaneous
2025-12-29,Flat Rent Jul,Landlord,17150.59,Rent
2023-05-17,Cafe Coffee Day,Cafe Coffee Day,350.0,Food & Drink
2025-02-19,Dunzo Groceries,Dunzo,1130.0,Groceries
2023-08-09,Repair Services 211,Urban Company,393.37,Miscellaneous
2025-12-14,Zomato order 6088,Zomato,715.0,Food & Drink
2025-06-17,DOMINOS BILL 10216,Dominos,878.0,Food & Drink
2024-04-21,Gas Cylinder 315,Indane,1027.89,Bills
2024-01-18,Pizza Hut,Pizza Hut,930.0,Food & Drink
2024-10-23,Courier Charges 880,DTDC,104.22,Miscellaneous
2025-10-18,Steam Games Purchase,Steam Games,1299.0,Entertainment
2025-05-01,NETFLIX.COM 10156,Netflix,843.0,Subscriptions
2025-03-09,Stationery 625,Local Shop,116.29,Miscellaneous
2025-07-30,Zomato,Zomato,370.0,Food & Drink
2023-12-29,Fuel at Indian Oil,Indian Oil,2026.0,Transport
2025-01-22,VI RECHARGE 10029,Vi,657.0,Bills
2023-06-26,Rent Payment 233,Owner,23571.36,Rent
