date,description,merchant,amount,category
2025-10-01,UPI to Zomato Order #2345,Zomato,340.0,Food & Drink
2024-10-01,Uber Trip 20251001,Uber,185.0,Transport
2024-10-01,NETFLIX.COM 892374,Netflix,199.0,Subscriptions
2024-10-02,Reliance Fresh Pvt Ltd,Reliance Fresh,1250.0,Groceries
2025-10-02,Swiggy Foods Bill,Swiggy,510.0,Food & Drink
2024-10-03,APOLLO PHARMACY TRN,Apollo Pharmacy,450.0,Health
2023-10-03,Ola Cabs Ride 9023,Ola,220.0,Transport
2023-10-03,Cafe Coffee Day Bill,Cafe Coffee Day,280.0,Food & Drink
2024-10-04,Amazon.in Order AMZ923,Amazon,2999.0,Shopping
2023-10-04,TNEB Bill Payment 100234,TNEB,1340.0,Utilities
2024-10-04,BSNL FTTH Bill,BSNL,799.0,Utilities
2025-10-05,IMPS - House Rent Oct,House Rent,20000.0,Rent
2025-10-05,PVR Cinemas Food,PVR Cinemas,600.0,Entertainment
2023-10-05,BookMyShow Movie,BookMyShow,780.0,Entertainment
2023-10-06,Fuel at IOCL,Indian Oil,2000.0,Transport
2025-10-06,Myntra Order MYN1002,Myntra,1899.0,Shopping
2024-10-06,Zomato order 5821,Zomato,420.0,Food & Drink
2023-10-07,Spotify AB 92384,Spotify,119.0,Subscriptions
2025-10-07,Dunzo Groceries,Dunzo,780.0,Groceries
2024-10-07,RAPIDO RIDE 2309,Rapido,95.0,Transport
2024-10-08,zomato order,Zomato,210.0,Food & Drink
2023-10-08,ACT Fibernet Bill,ACT Fibernet,1049.0,Utilities
2023-10-08,BigBazaar Purchase,BigBazaar,3100.0,Groceries
2024-10-09,MedPlus Bill,MedPlus,310.0,Health
2023-10-09,UPI to Starbucks,Starbucks,450.0,Food & Drink
2025-10-09,swiggy food,Swiggy,600.0,Food & Drink
2023-10-10,Amazon Prime renewal,Amazon Prime,299.0,Subscriptions
2024-10-10,FLIPKART Order FK2394,Flipkart,5400.0,Shopping
2023-10-10,Dominos Pizza,Dominos,750.0,Food & Drink
2023-10-11,Uber Ride 20251011,Uber,140.0,Transport
2024-10-11,Local Tea Shop,Local Tea Shop,40.0,Food & Drink
2025-10-11,CMRL Metro Card Recharge,Chennai Metro,500.0,Transport
2024-10-12,More Supermarket,More Supermarket,1800.0,Groceries
2023-10-12,ZARA Retail,Zara,4990.0,Shopping
2023-10-12,swiggy instamart,Swiggy,350.0,Groceries
2024-10-13,Doctor's Visit Fee,Local Clinic,800.0,Health
2025-10-13,Uber Auto,Uber,110.0,Transport
2024-10-13,Disney+ Hotstar,Hotstar,499.0,Subscriptions
2023-10-14,ATM WITHDRAWAL,ATM,5000.0,Miscellaneous
2023-10-14,Pizza Hut Bill,Pizza Hut,890.0,Food & Drink
2024-10-14,Zomato order 9923,Zomato,270.0,Food & Drink
2023-10-15,H&M Purchase,H&M,2100.0,Shopping
2025-10-15,Water Tax CMWSSB,CMWSSB,150.0,Utilities
2023-10-15,Ola Cabs 2345,Ola,310.0,Transport
2024-10-16,Licious Order,Licious,650.0,Groceries
2025-10-16,The Hindu Subscription,The Hindu,999.0,Subscriptions
2024-10-16,Shell Fuel,Shell,1500.0,Transport
2025-10-17,swiggy order,Swiggy,480.0,Food & Drink
2025-10-17,amazon.in purchase,Amazon,899.0,Shopping
2025-10-17,Apollo Pharmacy,Apollo Pharmacy,200.0,Health
2025-10-18,Reliance Fresh,Reliance Fresh,900.0,Groceries
2025-10-18,Steam Games Purchase,Steam Games,1299.0,Entertainment
2025-10-18,Uber Ride,Uber,210.0,Transport
2024-10-19,Zomato,Zomato,330.0,Food & Drink
2025-10-19,Milk delivery,Local Mart,1200.0,Groceries
2024-10-19,Mobile Recharge,Airtel,239.0,Bills
2023-10-20,Google Cloud,Google,150.0,Subscriptions
2025-10-20,Gym Membership,Fitness First,2500.0,Health
2025-10-20,flipkart,Flipkart,999.0,Shopping
2023-10-21,Rapido 2398,Rapido,80.0,Transport
